ticker,what,ret_1w,ret_1m,ret_3m,excess_1w,excess_1m,excess_3m
XLV,Health Care,-0.02710361014919982,0.04561669115300959,0.15472535114244335,-0.02883256790113753,0.021842615099889162,0.14388837361810958
XLF,Financials,-0.007815215072391468,0.01448894947026691,0.12711153640147788,-0.009544172824329178,-0.00928512658285352,0.11627455887714411
XLE,Energy,0.009744855931258734,0.07010914005960656,0.12014953095559,0.008015898179321024,0.046335064006486126,0.10931255343125623
RSP,S&P 500 equal weight (breadth check),-0.01223357106967049,0.019557238912077723,0.05188069638559911,-0.0139625288216082,-0.004216837141042706,0.041043718861265344
XLB,Materials,-0.012344226080681309,0.049347568011369525,0.04313566635763766,-0.014073183832619018,0.025573491958249095,0.03229868883330389
XLP,Consumer Staples,-0.02875928504762504,-0.0013522103355372295,0.04259812087717374,-0.030488242799562748,-0.02512628638865766,0.03176114335283997
XLRE,Real Estate,-0.03088465628341963,-0.025293973760096455,0.024149539532344777,-0.03261361403535734,-0.049068049813216885,0.013312562008011009
XLI,Industrials,-0.022821266557917275,-0.027385471263603245,0.0170843330884205,-0.024550224309854984,-0.051159547316723675,0.006247355564086732
IWM,Russell 2000 (small cap),-0.016629145725966965,0.006232837793000767,0.016374166493063447,-0.018358103477904675,-0.017541238260119663,0.005537188968729678
SPY,S&P 500 (benchmark),0.0017289577519377097,0.02377407605312043,0.010836977524333768,0.0,0.0,0.0
XLY,Consumer Discretionary,-0.014750656817976271,0.004005547264655851,-0.011868562342244093,-0.01647961456991398,-0.01976852878846458,-0.022705539866577862
XLU,Utilities,-0.029847313259894426,-0.05456591324027704,-0.020933989791139362,-0.031576271011832135,-0.07833998929339747,-0.03177096731547313
XLC,Communication Services,-0.007656700611540224,0.029748718442842215,-0.03338843707934047,-0.009385658363477933,0.005974642389721785,-0.04422541460367424
QQQ,Nasdaq 100 (benchmark),0.009938865469554248,0.03684651954377682,-0.03852770561680807,0.008209907717616538,0.013072443490656394,-0.04936468314114184
XLK,Technology,0.030380456139901924,0.057998276674946725,-0.051178909272073914,0.028651498387964214,0.034224200621826295,-0.06201588679640768
