sector,n,median_1m,median_3m,mean_3m,concentration,pct_above_50dma,pct_above_200dma,pct_at_52w_high,median_score
Health Care,61,0.04443383452999372,0.1788305203952969,0.19875440259869953,0.019923882203402632,0.01639344262295082,0.01639344262295082,0.0,0.6287524366471735
Financials,76,0.007606732282779749,0.11498639769762276,0.12148795066864136,0.0065015529710186065,0.02631578947368421,0.02631578947368421,0.0,0.6014619883040936
Materials,25,0.022504418393402226,0.08946957931176924,0.05178729678028079,-0.037682282531488455,0.0,0.0,0.0,0.517056530214425
Energy,21,0.05643967175402209,0.07944331760340306,0.11745871382050466,0.038015396217101594,0.09523809523809523,0.09523809523809523,0.0,0.6033138401559456
Consumer Staples,35,-0.002361299051961474,0.05020191613554448,0.05378518695151387,0.0035832708159693957,0.0,0.0,0.0,0.47241715399610135
Industrials,83,-0.023189401093467676,0.03203267736909532,0.022824260328764355,-0.009208417040330964,0.0,0.0,0.0,0.44522417153996097
Real Estate,30,-0.0272795795052172,0.012696033011966312,0.020182645564713404,0.007486612552747091,0.0,0.0,0.0,0.4087231968810916
Communication Services,24,0.060015245101281756,0.002371451474543762,-0.04122464400127159,-0.043596095475815354,0.041666666666666664,0.08333333333333333,0.0,0.47904483430799216
Utilities,31,-0.03955913352152074,-0.003352541157355171,-0.01789787497112315,-0.014545333813767977,0.0,0.0,0.0,0.3823586744639377
Consumer Discretionary,49,-0.012686818194505789,-0.00570321019772535,0.01807596811149358,0.02377917830921893,0.061224489795918366,0.04081632653061224,0.0,0.46189083820662774
Information Technology,78,0.058107312972575986,-0.02350258670342703,-0.035648575470484466,-0.012145988767057435,0.16666666666666666,0.2564102564102564,0.01282051282051282,0.4653508771929824
