sector,n,median_1m,median_3m,mean_3m,concentration,pct_above_50dma,pct_above_200dma,pct_at_52w_high,median_score
Health Care,61,0.04514442927549722,0.1741223766718456,0.2153478996467915,0.04122552297494589,0.01639344262295082,0.01639344262295082,0.0,0.6415874756335284
Financials,76,-0.014458329157659155,0.13688935396053592,0.14296327855945545,0.006073924598919533,0.039473684210526314,0.02631578947368421,0.0,0.6172678332115009
Materials,25,-0.0037377086024384942,0.08674332121154515,0.050860511559499465,-0.03588280965204569,0.0,0.0,0.0,0.45918882492690055
Consumer Staples,35,-0.0011158709733278815,0.07215800016246132,0.06920460159951769,-0.002953398562943632,0.0,0.0,0.0,0.5248705531189085
Energy,21,0.10564530184614318,0.06970275485315947,0.10611536299548208,0.03641260814232261,0.09523809523809523,0.09523809523809523,0.047619047619047616,0.6216282894736842
Communication Services,24,0.04509736895818961,0.04983664170314517,0.00857980295225009,-0.04125683875089508,0.041666666666666664,0.041666666666666664,0.0,0.5512417382431773
Industrials,83,-0.06947452028704848,0.014683000404473123,0.0017631433278244382,-0.012919857076648686,0.0,0.012048192771084338,0.0,0.38632584064327485
Real Estate,30,-0.038236960818310184,-0.005556168824306096,0.007012927923182551,0.012569096747488646,0.0,0.0,0.0,0.4056221826267057
Consumer Discretionary,49,-0.03297511271131326,-0.005663235854414306,0.031883701855509615,0.03754693770992392,0.061224489795918366,0.04081632653061224,0.0,0.4212426139132553
Utilities,31,-0.032346498872043106,-0.01424438811192108,-0.02359311830755138,-0.0093487301956303,0.0,0.0,0.0,0.42031250000000003
Information Technology,78,-0.028037571518154114,-0.06756718283621921,-0.05357348099338404,0.013993701842835167,0.16666666666666666,0.23076923076923078,0.0,0.449202759502924
